scenario_id,context_condition,claim_id,claim_text,claim_type,gpcs_trust_score,gpcs_unsupported,self_consistency_recurrence_rate,self_consistency_unsupported,agreement
scenario-02,none,claim-1,"Database Connection Pool Exhausted on auth-service-pod-8b Pod 'auth-service-pod-8b' on 'node-worker-01' has Failed, causing complete outage of auth-service",state,0.0,True,1.0,False,False
scenario-02,none,claim-2,Users cannot authenticate due to inability to establish database connections,general,0.0,True,1.0,False,False
scenario-02,none,claim-3,Primary root cause is PostgreSQL connection pool exhaustion on port 5432,causal,0.0,True,1.0,False,False
scenario-02,none,claim-4,The LOGS Agent (Conf: 0.95) definitively reports 'Auth service failed to connect to database host due to connection pool exhausted on postgres port 5432',state,0.0,True,0.5,False,False
scenario-02,none,claim-5,This directly explains the pod failure,general,0.0,True,0.5,False,False
scenario-02,none,claim-6,"The high CPU usage reported by MONITORING Agent (Conf: 0.92) is a secondary symptom caused by connection retry loops and thread blocking while waiting for connections, not the root cause",causal,0.0,True,0.5,False,False
scenario-02,none,claim-7,"TOPOLOGY Agent (Conf: 0.9) confirms isolation with no noisy neighbors (self-reference only), ruling out node contention",general,0.0,True,0.5,False,False
scenario-02,none,claim-8,"SECURITY Agent (Conf: 0.85) confirms no credential leak, only DB connection failures",general,0.0,True,0.5,False,False
scenario-02,none,claim-9,DEPLOYMENTS Agent (Conf: 0.15) is discounted due to very low confidence and missing Git SHA/commit_msg,general,0.0,True,0.0,True,True
scenario-02,none,claim-10,it cannot confirm or rule out a deployment regression,general,0.0,True,0.0,True,True
scenario-02,raw,claim-1,Postgres Connection Pool Exhausted on auth-service-pod-8b Pod 'auth-service-pod-8b' is in 'Failed' state causing degradation of auth-service,state,0.0,True,0.5,False,False
scenario-02,raw,claim-2,Authentication requests are failing due to inability to establish database connections,general,0.0,True,0.0,True,True
scenario-02,raw,claim-3,Root cause is database connectivity failure,causal,0.0,True,0.0,True,True
scenario-02,raw,claim-4,connection pool exhausted on postgres port 5432 when attempting to connect to database host,general,0.0,True,1.0,False,False
scenario-02,raw,claim-5,"This is corroborated by high-confidence LOGS (0.95) and SECURITY (0.85) agents both reporting 'failed to connect to database host, connection pool exhausted'",state,0.0,True,0.5,False,False
scenario-02,raw,claim-6,TOPOLOGY (0.99) rules out infrastructure resource contention as noisy_neighbors contains only itself on node 'node-worker-01' with no external noisy neighbors or dependencies,general,0.0,True,0.0,True,True
scenario-02,raw,claim-7,MONITORING (0.35) is discounted as inconclusive,general,0.0,True,0.0,True,True
scenario-02,raw,claim-8,single data point for container_cpu_usage_seconds_total=95.0 is a counter requiring rate calculation and historical baseline,general,0.0,True,0.0,True,True
scenario-02,raw,claim-9,DEPLOYMENTS (0.15) shows Degraded status but is discounted due to null sha/commit_msg preventing Git-correlated regression confirmation,general,0.0,True,0.0,True,True
scenario-02,hybrid,claim-1,Postgres Connection Pool Exhaustion on auth-service-pod-8b Pod auth-service-pod-8b has FAILED causing auth service outage,state,0.0,True,1.0,False,False
scenario-02,hybrid,claim-2,"The service is unable to establish database connections, resulting in authentication failures for dependent workloads",general,0.0,True,0.5,False,False
scenario-02,hybrid,claim-3,Root cause is database connection pool exhaustion on postgres port 5432,causal,0.0,True,1.0,False,False
scenario-02,hybrid,claim-4,LOGS Agent (Conf: 0.95) definitively identified 'failed to connect to database host due to connection pool exhausted on postgres port 5432' as the failure mode,state,0.0,True,0.0,True,True
scenario-02,hybrid,claim-5,This is corroborated by SECURITY Agent (Conf: 0.85) which confirms logs contain only generic database connection failure and pool exhaustion with no credential leak,general,0.0,True,0.0,True,True
scenario-02,hybrid,claim-6,TOPOLOGY Agent (Conf: 0.99) rules out node-level contention as the noisy_neighbors list contains only itself and dependencies are empty,general,0.0,True,0.0,True,True
scenario-02,hybrid,claim-7,Elevated CPU at 95.0 reported by MONITORING Agent is discounted due to low confidence (0.55) and insufficient historical baseline to confirm a sustained anomaly,general,0.0,True,0.0,True,True
scenario-02,hybrid,claim-8,it is likely a secondary symptom of connection retry loops,general,0.0,True,0.0,True,True
scenario-02,hybrid,claim-9,"DEPLOYMENTS Agent Degraded status is discounted due to very low confidence (0.3) and null sha/commit_msg, providing no evidence of a deployment regression",general,0.0,True,0.5,False,False
scenario-03,none,claim-1,CPU Throttling Induced Failure on node-worker-01 Pod 'node-worker-01' has Failed resulting in degraded frontend service performance with response times spiking to 1200ms due to active CPU throttling,temporal,0.0,True,1.0,False,False
scenario-03,none,claim-2,Correlated evidence indicates active CPU throttling on node-worker-01 is the primary driver of failure and frontend latency (1200ms) per LOGS Agent (Conf: 0.85),general,0.0,True,0.5,False,False
scenario-03,none,claim-3,"TOPOLOGY Agent (Conf: 0.99) confirms this is NOT caused by co-located workload contention, as the node is isolated with an empty dependencies list and a noisy_neighbors list containing only a self-reference to node-worker-01 itself, which is a data artifact and not a true noisy neighbor",causal,0.0,True,0.0,True,True
scenario-03,none,claim-4,"MONITORING Agent (Conf: 0.15) provides no contradictory CPU anomaly signal, as only a single sample of container_cpu_usage_seconds_total (value 95.0) is available, which is a cumulative counter requiring multiple samples to calculate rate/usage and cannot establish a baseline or trend",general,0.0,True,0.0,True,True
scenario-03,none,claim-5,"SECURITY Agent (Conf: 0.8) rules out security breaches, secret reference warnings, or RBAC alerts",general,0.0,True,0.5,False,False
scenario-03,none,claim-6,"DEPLOYMENTS Agent (Conf: 0.62) notes Deployment 'frontend-service-deploy' is Degraded but has null SHA and null commit_msg, so missing Git metadata prevents definitive regression analysis and it can only be treated as a potential regression requiring investigation, not a confirmed cause",causal,0.0,True,0.5,False,False
scenario-03,raw,claim-1,CPU Throttling and Self-Contention Failure on node-worker-01 Pod node-worker-01 has Failed due to isolated resource pressure,state,0.0,True,1.0,False,False
scenario-03,raw,claim-2,"Frontend response time degraded to 1200ms due to active CPU throttling, with no evidence of crash, deployment regression, or security breach",temporal,0.0,True,0.0,True,True
scenario-03,raw,claim-3,Impact is isolated to this pod with no cross-pod dependencies affected,general,0.0,True,0.0,True,True
scenario-03,raw,claim-4,Correlated high-confidence signals point to isolated resource exhaustion/self-contention rather than external factors,general,0.0,True,0.0,True,True
scenario-03,raw,claim-5,LOGS (0.88) shows no hard failure/crash pattern but confirms CPU throttling active and frontend latency at 1200ms indicating performance degradation,state,0.0,True,0.0,True,True
scenario-03,raw,claim-6,TOPOLOGY (0.95) confirms no dependencies and no external noisy neighbors,general,0.0,True,0.5,False,False
scenario-03,raw,claim-7,"pod is only listed as its own noisy neighbor, indicating self-contention/CPU saturation on the node",general,0.0,True,0.5,False,False
scenario-03,raw,claim-8,MONITORING (0.95) anomaly_detected aligns with this resource pressure,general,0.0,True,0.0,True,True
scenario-03,raw,claim-9,SECURITY (0.80) rules out breach/RBAC/secret issues,general,0.0,True,0.5,False,False
scenario-03,raw,claim-10,DEPLOYMENTS (0.25) reports Degraded status but is discounted due to very low confidence,general,0.0,True,0.0,True,True
scenario-03,raw,claim-11,"null commit SHA/message means regression cannot be confirmed or ruled out and requires manual investigation, but is not the correlated cause",causal,0.0,True,0.0,True,True
scenario-03,hybrid,claim-1,CPU Throttling and Resource Pressure on node-worker-01 Pod 'node-worker-01' has Failed causing performance degradation of frontend-service with response times degraded to 1200ms,temporal,0.0,True,0.5,False,False
scenario-03,hybrid,claim-2,No crash or security incident detected; failure is due to internal resource pressure,state,0.0,True,0.0,True,True
scenario-03,hybrid,claim-3,"Correlated high-confidence signals indicate CPU exhaustion and active CPU throttling on node-worker-01 (MONITORING 0.75, LOGS 0.85) as the root cause",causal,0.0,True,0.0,True,True
scenario-03,hybrid,claim-4,"LOGS explicitly notes no hard crash/failure but active CPU throttling correlated with 1200ms frontend response time degradation, indicating the pod Failed due to resource pressure / health-check timeout rather than an application crash",temporal,0.0,True,0.0,True,True
scenario-03,hybrid,claim-5,"TOPOLOGY (0.90) confirms isolation with no external noisy neighbors (list contains only itself, zero dependencies), ruling out node contention or noisy-neighbor interference",general,0.0,True,0.0,True,True
scenario-03,hybrid,claim-6,SECURITY (0.80) rules out breach/RBAC/secret issues,general,0.0,True,0.0,True,True
scenario-03,hybrid,claim-7,"DEPLOYMENTS (0.35) is Degraded but inconclusive and low-confidence due to null SHA/commit_msg, so regression/Git correlation is discounted and not causal",general,0.0,True,0.0,True,True
